Pupil_Shape,Constriction_Level,Incident_Angle,width,height,area
Vertical,5,20,8.4031643,12.37709064,81.68669175
Vertical,1,25,11.99147269,14.40109772,135.6306994
Vertical,2,25,11.08126139,13.88558641,120.8490681
Vertical,3,25,9.654489581,13.10282968,99.35375726
Vertical,4,25,8.915752478,12.68501063,88.82571659
Vertical,5,25,8.182209317,12.27048911,78.8537481
Vertical,1,30,11.58369944,14.32839332,130.3570898
Vertical,2,30,10.73276089,13.89823033,117.1550032
Vertical,3,30,9.334839165,13.19829691,96.76417877
Vertical,4,30,8.614144647,12.80175318,86.6106885
Vertical,5,30,7.907351718,12.40666285,77.0505811
Vertical,1,35,11.12875725,14.43988803,126.2119208
Vertical,2,35,10.30341657,13.94606481,112.8555234
Vertical,3,35,8.963032866,13.21452091,93.02427476
Vertical,4,35,8.267067353,12.82265938,83.25675181
Vertical,5,35,7.573073669,12.4278156,73.91913285
Vertical,1,40,10.40948,14.40260009,117.7497024
Vertical,2,40,9.778999738,13.95306854,107.1652653
Vertical,3,40,8.504824556,13.23898511,88.43209915
Vertical,4,40,7.844738242,12.82658081,79.02768134
Vertical,5,40,7.197075922,12.41251226,70.16259702
Vertical,1,45,9.474375164,14.45907566,107.59225
Vertical,2,45,9.160090662,13.99155351,100.6596906
Vertical,3,45,7.980644462,13.23157542,82.93529645
Vertical,4,45,7.369026683,12.81498389,74.16825737
Vertical,5,45,6.769163608,12.36078829,65.71599083
Vertical,1,50,8.432699289,14.46648561,95.81191803
Vertical,2,50,8.383752359,14.01665205,92.2938187
Vertical,3,50,7.400947826,13.25766414,77.06270278
Vertical,4,50,6.840681609,12.61450183,67.77341392
Vertical,5,50,6.275790607,12.34728192,60.85968366
Vertical,1,55,7.313286337,14.04805445,80.68980037
Vertical,2,55,7.313286337,13.76971784,79.09107895
Vertical,3,55,6.725046841,13.24057388,69.9345853
Vertical,4,55,6.237101558,12.71847211,62.30281061
Vertical,5,55,5.74508334,12.51138226,56.4535826
Vertical,1,60,6.271104606,14.27487912,70.30826257
Vertical,2,60,6.271104606,13.97527334,68.83261002
Vertical,3,60,6.027574093,13.39333849,63.40467543
Vertical,4,60,5.605102976,12.95636771,57.03700888
Vertical,5,60,5.177271636,12.50316886,50.84063072
Vertical,1,65,5.29441811,13.861297,57.63840917
Vertical,2,65,5.29441811,13.861297,57.63840917
Vertical,3,65,5.29441811,13.40587844,55.74467578
Vertical,4,65,4.926359991,12.97842554,50.21552824
Vertical,5,65,4.555288482,12.64734502,45.2485986
Vertical,1,70,4.374202149,13.70165243,47.0718945
Vertical,2,70,4.374202149,13.69665183,47.05471497
Vertical,3,70,4.374202149,13.23293859,45.46163262
Vertical,4,70,4.274010432,12.79590251,42.95328482
Vertical,5,70,3.920929534,12.65327201,38.96563545
Vertical,1,75,3.509941178,13.28463867,36.62178143
Vertical,2,75,3.509941178,13.06367871,36.01266081
Vertical,3,75,3.509941178,12.93817559,35.66668617
Vertical,4,75,3.509941178,12.75078107,35.15009545
Vertical,5,75,3.344552234,12.52306379,32.89564885
Vertical,1,80,2.646681551,12.17120987,25.30027971
Vertical,2,80,2.646681551,12.17120987,25.30027971
Vertical,3,80,2.646681551,12.17120987,25.30027971
Vertical,4,80,2.646681551,12.17120987,25.30027971
Vertical,5,80,2.646681551,12.10944309,25.17188517
