Species,Plane,Landmark,X,Y,Z,,,
Dendromas ,Pallate ,M1(2),218,60,166,,,
Lagidium_viscacia,Orbit,OA,255,181,66,,,
Lagidium_viscacia,Orbit,OS,214,224,83,,,
Lagidium_viscacia,Orbit,OI,201,150,25,,,
Lagidium_viscacia,Pallate ,Prosthion,419,93,127,,,
Lagidium_viscacia,Pallate ,M1(1),289,94,120,,,
Lagidium_viscacia,Pallate ,M1(2),289,94,134,,,
Uromys_vika,Orbit,OA,162,142,76,,,
Uromys_vika,Orbit,OI,246,81,25,,,
Uromys_vika,Orbit,OS,229,172,112,,,
Uromys_vika,Pallate ,Prosthion,21,84,150,,,
Uromys_vika,Pallate ,M1(1),193,41,160,,,
Uromys_vika,Pallate ,M1(2),193,41,140,,,
Oecomys_bicolor,Orbit,OA,98,95,36,,,
Oecomys_bicolor,Orbit,OI,125,59,12,,,
Oecomys_bicolor,Orbit,OS,133,119,54,,,
Oecomys_bicolor,Pallate ,Prosthion,22,53,83,,,
Oecomys_bicolor,Pallate ,M1(1),129,40,90,,,
Oecomys_bicolor,Pallate ,M1(2),129,40,76,,,
Grammomys_dolichurus,Orbit,OA,177,231,134,,,
Grammomys_dolichurus,Orbit,OI,233,178,100,,,
Grammomys_dolichurus,Orbit,OS,227,260,160,,,
Grammomys_dolichurus,Pallate ,Prosthion,72,176,198,,,
Grammomys_dolichurus,Pallate ,M1(1),217,160,190,,,
Grammomys_dolichurus,Pallate ,M1(2),217,160,206,,,
Zelotomys_hildegardeae,Orbit,OA,166,195,60,,,
Zelotomys_hildegardeae,Orbit,OI,236,139,12,,,
Zelotomys_hildegardeae,Orbit,OS,222,224,94,,,
Zelotomys_hildegardeae,Pallate ,Prosthion,30,133,130,,,
Zelotomys_hildegardeae,Pallate ,M1(1),192,113,140,,,
Zelotomys_hildegardeae,Pallate ,M1(2),192,113,120,,,
Suntamartamys_rufodorsalis,Orbit,OA,147,128,42,,,
Suntamartamys_rufodorsalis,Orbit,OI,187,94,19,,,
