"","Mean","SD","CI_Lower","CI_Upper","Min","Max"
"N",151.3568,7.76473772837164,136.137914052392,166.575685947608,127,181
"Diurnal,Nocturnal",11.5812,2.62594472088339,6.43434834706856,16.7280516529314,2,22
"Diurnal,Polyphasic",2.953,1.55964018141977,-0.103894755582755,6.00989475558275,0,10
"Nocturnal,Diurnal",13.1924,2.83904812901359,7.62786566713337,18.7569343328666,2,24
"Nocturnal,Polyphasic",58.1472,4.18457098002381,49.9454408791533,66.3489591208467,43,73
"Polyphasic,Diurnal",52.3166,4.554878025015,43.3890390709706,61.2441609290294,35,71
"Polyphasic,Nocturnal",13.1664,3.20767343627353,6.87936006490389,19.4534399350961,2,28
