"From","To","mean_count","sd_count","n","ci_95_lower","ci_95_upper","min_count","max_count"
"Horizontal","Round",2.29338800000039,1.08484000442825,500000,2.29038097692374,2.29639502307703,1,9
"Horizontal","Vertical",0,0,500000,0,0,0,0
"Round","Horizontal",5.66469799999981,1.76641920541799,500000,5.65980173576541,5.6695942642342,0,16
"Round","Vertical",15.5306160000011,3.74541248953839,500000,15.5202342462479,15.5409977537543,3,34
"Vertical","Horizontal",6.06615999999998,1.64373363356694,500000,6.06160380282085,6.07071619717912,0,14
"Vertical","Round",30.7732419999998,5.94233636141209,500000,30.7567706839578,30.7897133160418,7,57
