Binomial.1.2,Upham_TipLabel,Alvarez.Carretero_Tiplabel,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Pupil,Diel,Flexible,avg_mass_g,Slit,Genus_Diet_4,Genus_Diet_3,Orbit_Verticality,OrbitVerticality_ref.,Height,Height reference 
Pogonomys_loriae,Pogonomys_loriae,pogonomys_loriae,Rodentia,Muridae,Pogonomys,loriae,Round,Nocturnal,0,74.3,,Herbivore,Herbivore,,,,
Psammomys_obesus,Psammomys_obesus,psammomys_obesus,Rodentia,Muridae,Psammomys,obesus,Round,Cathemeral,,256.35,,Herbivore,Herbivore,,,,
Pseudomys_albocinereus,Pseudomys_albocinereus,pseudomys,Rodentia,Muridae,Pseudomys,albocinereus,Round,Nocturnal,0,36.33809524,,Herbivore,Herbivore,,,,
Taeromys_punicans,Taeromys_punicans,taeromys_celebensis,Rodentia,Muridae,Taeromys,punicans,Round,Nocturnal,0,235.7714286,,Herbivore,Herbivore,,,,
Tatera_indica,Tatera_indica,tatera_indica,Rodentia,Muridae,Tatera,indica,Round,Nocturnal,1,166.3,,Herbivore,Herbivore,,,,
Taterillus_emini,Taterillus_emini,taterillus_arenarius,Rodentia,Muridae,Taterillus,emini,Round,Nocturnal,0,50.625,,Herbivore,Herbivore,,,,
Tokudaia_osimensis,Tokudaia_osimensis,tokudaia_osimensis,Rodentia,Muridae,Tokudaia,osimensis,Round,Nocturnal,0,199.1666667,,Herbivore,Herbivore,,,,
Zyzomys_argurus,Zyzomys_argurus,zyzomys_argurus,Rodentia,Muridae,Zyzomys,argurus,Round,Nocturnal,0,97.8,,Herbivore,Herbivore,,,,
Hypogeomys_antimena,Hypogeomys_antimena,hypogeomys_antimena,Rodentia,Nesomyidae,Hypogeomys,antimena,Round,Nocturnal,0,1250,,Herbivore,Herbivore,,,,
Octodon_degus,Octodon_degus,octodon_degus,Rodentia,Octodontidae,Octodon,degus,Vertical,Cathemeral,,220.75,1,Herbivore,Herbivore,,,,
Platacanthomys_lasiurus,Platacanthomys_lasiurus,typhlomys_chapensis,Rodentia,Platacanthomyidae,Platacanthomys,lasiurus,Round,Nocturnal,0,75,,Herbivore,Herbivore,,,,
Ammospermophilus_leucurus,Ammospermophilus_leucurus,ammospermophilus_harrisii,Rodentia,Sciuridae,Ammospermophilus,leucurus,Horizontal,Diurnal,,128.3,,Herbivore,Herbivore,,,,
Callosciurus_erythraeus,Callosciurus_erythraeus,callosciurus_erythraeus,Rodentia,Sciuridae,Callosciurus,erythraeus,Horizontal,Diurnal,,262.9666667,,Herbivore,Herbivore,,,,
Cynomys_ludovicianus,Cynomys_ludovicianus,cynomys_gunnisoni,Rodentia,Sciuridae,Cynomys,ludovicianus,Horizontal,Diurnal,,999.5,,Herbivore,Herbivore,,,,
Dremomys_rufigenis,Dremomys_rufigenis,dremomys_lokriah,Rodentia,Sciuridae,Dremomys,rufigenis,Horizontal,Diurnal,,211.9333333,,Herbivore,Herbivore,,,,
Exilisciurus_concinnus,Exilisciurus_concinnus,exilisciurus_concinnus,Rodentia,Sciuridae,Exilisciurus,concinnus,Horizontal,Diurnal,,23.3,,Herbivore,Herbivore,,,,
Funambulus_tristriatus,Funambulus_tristriatus,funambulus_layardi,Rodentia,Sciuridae,Funambulus,tristriatus,Horizontal,Diurnal,,117.08,,Herbivore,Herbivore,,,,
Marmota_caligata,Marmota_caligata,marmota_baibacina,Rodentia,Sciuridae,Marmota,caligata,Horizontal,Diurnal,,4964.05,,Herbivore,Herbivore,,,,
Otospermophilus_beecheyi,Otospermophilus_beecheyi,otospermophilus_beecheyi,Rodentia,Sciuridae,Otospermophilus,beecheyi,Horizontal,Diurnal,,635.05,,Herbivore,Herbivore,,,,
Paraxerus_palliatus,Paraxerus_palliatus,paraxerus_alexandri,Rodentia,Sciuridae,Paraxerus,palliatus,Horizontal,Diurnal,,269.3363636,,Herbivore,Herbivore,,,,
Prosciurillus_weberi,Prosciurillus_weberi,prosciurillus_murinus,Rodentia,Sciuridae,Prosciurillus,weberi,Horizontal,Diurnal,,127.12,,Herbivore,Herbivore,,,,
Protoxerus_stangeri,Protoxerus_stangeri,protoxerus_stangeri,Rodentia,Sciuridae,Protoxerus,stangeri,Horizontal,Diurnal,,485.75,,Herbivore,Herbivore,,,,
Ratufa_affinis,Ratufa_affinis,ratufa_affinis,Rodentia,Sciuridae,Ratufa,affinis,Horizontal,Diurnal,,1398.35,,Herbivore,Herbivore,,,,
Rheithrosciurus_macrotis,Rheithrosciurus_macrotis,rheithrosciurus_macrotis,Rodentia,Sciuridae,Rheithrosciurus,macrotis,Horizontal,Diurnal,,1225,,Herbivore,Herbivore,,,,
Sciurus_niger,Sciurus_niger,sciurus_niger,Rodentia,Sciuridae,Sciurus,niger,Horizontal,Diurnal,,599.35,,Herbivore,Herbivore,,,,
Spermophilus_major,Spermophilus_major,spermophilus_alashanicus,Rodentia,Sciuridae,Spermophilus,major,Horizontal,Diurnal,,351.2066667,,Herbivore,Herbivore,,,,
Tamias_striatus,Tamias_striatus,tamias_striatus,Rodentia,Sciuridae,Tamias,striatus,Round,Diurnal,,111.9,,Herbivore,Herbivore,,,,
Thryonomys_gregorianus,Thryonomys_gregorianus,thryonomys_swinderianus,Rodentia,Thryonomyidae,Thryonomys,gregorianus,Vertical,Nocturnal,1,2943.55,0,Herbivore,Herbivore,,,,
Anathana_ellioti,Anathana_ellioti,anathana_ellioti,Scandentia,Tupaiidae,Anathana,ellioti,Horizontal,Diurnal,,160,,Insectivore,Carnivore,,,,
Tupaia_belangeri,Tupaia_belangeri,tupaia_belangeri,Scandentia,Tupaiidae,Tupaia,belangeri,Horizontal,Diurnal,,170.7866667,,Insectivore,Carnivore,,,,
Orycteropus_afer,Orycteropus_afer,orycteropus_afer,Tubulidentata,Orycteropodidae,Orycteropus,afer,Round,Nocturnal,1,52350.4,,Insectivore,Carnivore,,,,
