"","Mean","SD","CI_Lower","CI_Upper","Min","Max"
"N",61.4902,4.95713814652379,51.7742092328134,71.2061907671866,45,82
"Horizontal,Round",1.7618,0.831143140369878,0.132759444875039,3.39084055512496,1,6
"Horizontal,Vertical",0,0,0,0,0,0
"Round,Horizontal",6.2728,1.64454281312858,3.04949608626799,9.49610391373201,2,13
"Round,Vertical",17.657,3.6573250067831,10.4886429867051,24.8253570132949,6,33
"Vertical,Horizontal",5.6892,1.58388923256022,2.58477710418196,8.79362289581804,1,11
"Vertical,Round",30.1094,5.72234048935706,18.8936126408602,41.3251873591398,10,50
