"","Mean","SD","CI_Lower","CI_Upper","Min","Max"
"N",49.5846,3.49114314460055,42.7419594365829,56.4272405634171,42,65
"Horizontal,Round",1.2322,0.473210255160579,0.304707899885265,2.15969210011474,0,4
"Horizontal,Vertical",0,0,0,0,0,0
"Round,Horizontal",9.8354,0.842406534728885,8.18428319193139,11.4865168080686,6,13
"Round,Vertical",23.6784,2.20053218753592,19.3653569124296,27.9914430875704,17,33
"Vertical,Horizontal",2.2828,0.674770496572438,0.96024982671802,3.60535017328198,0,6
"Vertical,Round",12.5558,2.69761779879176,7.26846911436816,17.8431308856318,6,25
